epoch,train_loss,val_loss,epoch_seconds,timestamp
235,-0.098124,0.310770,50.7,2026-08-07T00:53:11
236,-0.092570,0.206890,50.7,2026-08-07T00:54:01
237,-0.078692,0.429391,50.7,2026-08-07T00:54:52
238,-0.069742,0.488112,50.7,2026-08-07T00:55:43
239,-0.100597,0.768333,50.7,2026-08-07T00:56:33
240,-0.097596,0.300556,50.7,2026-08-07T00:57:24
241,-0.097016,0.384927,50.6,2026-08-07T00:58:15
242,-0.102140,0.523240,50.7,2026-08-07T00:59:05
243,-0.107207,0.562535,50.7,2026-08-07T00:59:56
244,-0.101799,0.760447,50.7,2026-08-07T01:00:47
245,-0.103159,0.411554,50.6,2026-08-07T01:01:37
246,-0.098890,0.216701,50.7,2026-08-07T01:02:28
247,-0.098436,0.555881,50.6,2026-08-07T01:03:19
248,-0.112247,0.667837,50.6,2026-08-07T01:04:09
249,-0.108959,0.582960,50.7,2026-08-07T01:05:00
250,-0.108224,0.599880,50.7,2026-08-07T01:05:51
251,-0.109561,0.276807,50.7,2026-08-07T01:06:42
252,-0.112744,0.535939,50.6,2026-08-07T01:07:32
253,-0.111283,0.453575,50.6,2026-08-07T01:08:23
254,-0.118570,0.706912,50.7,2026-08-07T01:09:14
255,-0.111699,0.368494,50.7,2026-08-07T01:10:04
256,-0.108202,0.522270,50.6,2026-08-07T01:10:55
257,-0.107742,0.317499,50.6,2026-08-07T01:11:46
258,-0.112393,0.784111,50.6,2026-08-07T01:12:36
259,-0.108116,0.617132,50.7,2026-08-07T01:13:27
260,-0.098090,0.581167,50.7,2026-08-07T01:14:18
261,-0.102551,0.443852,50.7,2026-08-07T01:15:08
262,-0.106095,0.207791,50.7,2026-08-07T01:15:59
263,-0.116904,0.364920,50.7,2026-08-07T01:16:50
264,-0.107779,0.262789,50.6,2026-08-07T01:17:40
265,-0.110587,0.545398,50.6,2026-08-07T01:18:31
266,-0.120703,0.777704,50.7,2026-08-07T01:19:22
267,-0.122278,0.789942,50.6,2026-08-07T01:20:12
268,-0.102390,0.078093,50.7,2026-08-07T01:21:03
269,-0.112443,0.520088,50.7,2026-08-07T01:21:54
270,-0.122511,0.602855,50.7,2026-08-07T01:22:45
271,-0.112828,0.127832,50.7,2026-08-07T01:23:35
272,-0.117571,0.915017,50.7,2026-08-07T01:24:26
273,-0.115147,0.626659,50.7,2026-08-07T01:25:17
274,-0.102703,0.413782,50.7,2026-08-07T01:26:08
275,-0.120169,0.109789,50.7,2026-08-07T01:26:58
276,-0.120213,0.187582,50.7,2026-08-07T01:27:49
277,-0.114869,0.232577,50.7,2026-08-07T01:28:40
278,-0.096763,0.052489,50.7,2026-08-07T01:29:31
279,-0.079169,0.411966,50.7,2026-08-07T01:30:21
280,-0.115062,0.858107,50.7,2026-08-07T01:31:12
281,-0.117315,0.493378,50.7,2026-08-07T01:32:03
282,-0.101293,1.094858,50.7,2026-08-07T01:32:54
283,-0.124193,1.106694,50.7,2026-08-07T01:33:44
284,-0.117578,0.426230,50.7,2026-08-07T01:34:35
285,-0.120574,0.511481,50.7,2026-08-07T01:35:26
286,-0.120473,0.836741,50.7,2026-08-07T01:36:17
287,-0.122756,0.069585,50.7,2026-08-07T01:37:07
288,-0.120153,0.576305,50.7,2026-08-07T01:37:58
289,-0.106154,0.574291,50.7,2026-08-07T01:38:49
